prompt_id,sample_count,raw_clean_variant_count,normalized_variant_count,jyutping_variant_count,raw_clean_hashes,normalized_hashes,jyutping_hashes
62574213ba356a82,43,1,1,1,c93e9afba9d6e20a,c93e9afba9d6e20a,c68d9e1466d3cd0e
6c4efc9a884fd96c,1,1,1,1,407a8a8ed1e343be,66b0fb70503b804b,0ac64d928f7ee6d3
6e53a7e52441355f,42,1,1,1,3633a53879416b5c,3633a53879416b5c,1dca7528df4d5884
736daed3be32b64a,35,1,1,1,1869dbe2b8506b0a,5e73dd2705d86b57,ff340bf8c5a12032
754cddd5da888b57,1,1,1,1,bbb8e7ea157217fc,bbb8e7ea157217fc,2376bb8239ccfa65
756c5bd7a4ab2d9e,1,1,1,1,271bb933e6eb9bd7,271bb933e6eb9bd7,11bf2bb597814cd1
7866946376b84369,36,1,1,1,7a1f07ae6e1bac7c,7a1f07ae6e1bac7c,f1f5909d189b469d
79902c214c449eba,1,1,1,1,1e52c0a7a63a35a9,1e52c0a7a63a35a9,8677d89c291bebee
7d916903d82ae57a,36,1,1,1,df182ae20586f9ad,df182ae20586f9ad,64cc38fccf536988
7e6ea42ad9273ef7,1,1,1,1,2f80d52465b70c16,2f80d52465b70c16,c9398e435b2c8449
7e97060dba76153c,39,1,1,1,46b5769584f76c5d,46b5769584f76c5d,9d75db32defd817d
7ea510a7c2643bb0,1,1,1,1,ba47b206dc4f52e9,ba47b206dc4f52e9,0ff54976133d96e4
8320c1a6150a4b86,45,1,1,1,c5ca4c6e3dcdb721,c5ca4c6e3dcdb721,aec5966f3488e865
838f73a83412ba06,1,1,1,1,8b46e0cfa44c66eb,8b46e0cfa44c66eb,4d1df0f554da9630
885f9480d15ac666,41,1,1,1,02a610d51d208c18,02a610d51d208c18,ea58130ce36c1054
8d16740d1803093f,87,1,1,1,425755c9c75e065e,425755c9c75e065e,2d0e8074cdfd7f2a
8da95858727487fe,56,1,1,1,e66fef800532ff93,e66fef800532ff93,fa91d5a33be280aa
8e3f0c1057146edb,1,1,1,1,c7af73ece82c9016,c7af73ece82c9016,48d92378d70f4abd
920b43aefa070a5d,1,1,1,1,e5a84e651194117b,e5a84e651194117b,d59a9c56b3b7a642
920b46c2e0cc45e5,1,1,1,1,d08ff3fae8a93374,d08ff3fae8a93374,b153e3c25e00b84a
933be63f753108aa,40,1,1,1,f21bd67915bb7a73,f21bd67915bb7a73,1f4f414e10beca22
93c49d431db1264b,1,1,1,1,61c928c6a31907d6,61c928c6a31907d6,9ab93f2c4bd3c805
949719ea0f910f31,1,1,1,1,b234c5b1db61791d,b234c5b1db61791d,e58b60d5386115a8
9964166793b899f2,37,1,1,1,3b1c331ecdfb4e9b,3b1c331ecdfb4e9b,dd4ca48ff82bc89f
a034d70fc682bdd5,1,1,1,1,27f044c2a986b89d,dbf6358a301235db,11ea8f9a50e2d922
a28d8763e5187927,1,1,1,1,a033c47eb70d247a,a033c47eb70d247a,0908d8679267eee9
a79b26bf6c2f2ab7,52,1,1,1,2adf367f1a46bed5,2adf367f1a46bed5,26f60aa23136587e
a89ac9cdafae7d67,40,1,1,1,01ddefcb48716e26,01ddefcb48716e26,a7db47e411a41a24
a93105612b446749,1,1,1,1,954f474aea3bbb22,954f474aea3bbb22,112c47e186ffa6e0
a9a67fbef1b9289c,1,1,1,1,b5daf9cf25298961,b5daf9cf25298961,40e0fc6860cf361f
a9bef67c5b9418ea,1,1,1,1,86b49293bf24d96b,86b49293bf24d96b,9b0513ce9d4b43dc
aa95ace06b79eb9d,1,1,1,1,d0f70db316977770,d0f70db316977770,ca2b397a459c4799
b26a92eea196236f,40,1,1,1,fdd00555e6e5f796,fdd00555e6e5f796,75e1f088ce918279
b4e3f34b38951f9a,1,1,1,1,294fa9d5413957aa,294fa9d5413957aa,a5dd9045f78ebf91
bae0e3a123f379b0,1,1,1,1,72ed422f74900e08,72ed422f74900e08,127ddf77dc0a757c
bca0a0402fc1cc1d,36,1,1,1,7cb65169e89f3e4c,7cb65169e89f3e4c,20741f28b9b1ce17
c1daf1ab4abc891e,1,1,1,1,d213223e203b3fe5,d213223e203b3fe5,f479196aa30474c4
c5b9707edec3f561,1,1,1,1,4b09276646378b17,4b09276646378b17,e9ec6bb984795535
c6068443dc8c2b65,46,1,1,1,48c27c9166124c7e,48c27c9166124c7e,880133fbaf74a773
c7ca9235dac77c26,1,1,1,1,c040cf97390e638e,c040cf97390e638e,59c3aec765f5404b
